,Model0,Model1,Model2,Model3,Model4,Model5,Model6,Model7,Model8,Model9
90,321.9821668,-5.50E+23,-56.40865645,-209.615178,-68.05821123,50.46290276,-3.84E+48,28.45850476,-20.22046068,22.67123945
91,-86.33492426,-3.46E+26,-19.19404156,-166.7952965,57.79311192,-44.36467784,-7.84E+51,11.98818901,49.21137669,-14.59855219
92,69.70553282,-1.66E+25,2.494994114,-99.29788716,7.335293544,-153.0107959,-1.77E+50,13.90632237,12.47727703,190.1604086
93,39.8041882,3.73E+25,107.4569837,11.73907432,66.10802862,92.33597502,1.32E+50,-25.28062948,-3.36102874,-70.08474959
94,105.6448303,4.15E+25,-18.78815539,-47.0732282,-58.13171623,-20.52131156,-1.85E+52,-15.19715775,8.020691769,41.70314355
95,201.5950523,-4.75E+27,135.094697,73.08868294,-5.363533382,-52.27686727,1.39E+49,-82.28536403,12.60277969,13.70647435
96,64.0799121,-4.38E+23,12.62321669,-12.93242901,-52.22343037,-17.28054599,7.01E+47,27.71577828,31.17686276,-24.59190376
97,247.771624,4.50E+25,37.71922687,209.5816501,44.84422848,-102.2177426,3.81E+52,-11.00970374,4.381655163,55.76073053
98,-44.18421833,8.59E+23,-31.78598671,-8.018882433,-34.41737091,-5.04561541,-2.26E+46,-40.32535969,-44.35650193,-18.68567176
99,122.5877578,6.29E+26,-34.04260883,-35.33647028,21.11047954,-44.18830773,-8.55E+51,36.53643598,-13.53853684,32.15079836
100,60.10985978,3.04E+25,14.32088836,89.38414869,-19.14246446,-84.76348853,4.87E+48,-10.41373511,3.536544498,-9.106563369
101,-37.58737742,-1.82E+27,-50.25561797,17.97516835,92.03608652,12.07702356,2.58E+47,-19.14955525,-70.69052092,45.5316793
102,71.71967173,-1.17E+25,-56.33848685,-439.7308808,-3.299934333,67.99533283,1.09E+47,11.73856813,-12.26275362,-12.21419566
103,-102.9904456,-2.30E+23,-23.88696092,-483.2831475,-17.42113417,104.8302088,1.97E+50,18.99341976,3.384850834,-4.254290215
104,-837.5698044,1.60E+23,126.3667392,-61.88952107,-5.957374438,63.06704141,-4.06E+48,-71.22413068,52.26132118,-21.45877038
105,118.0455528,-1.89E+21,-1.312027121,-46.46297939,162.2789237,-104.8814455,-6.23E+52,63.98183098,-45.12495144,-59.84127775
106,-43.41065793,-9.33E+23,46.73002361,93.41420499,31.80421228,-140.489552,1.67E+50,-2.472314287,-28.11586023,-23.22637147
107,-120.7068517,1.42E+25,-54.71280315,-138.2450148,4.615475921,-98.16801809,-1.22E+52,2.732272865,11.0717892,-49.58126289
108,-156.5990278,9.68E+23,-0.899327092,-137.6986357,-17.20945169,-121.3915983,2.00E+52,-19.23717317,-8.484403851,46.8981637
109,109.4380219,-1.13E+25,-143.1572042,-174.6873893,-36.16914971,-30.64006344,-2.28E+45,-27.67225883,-168.9982167,54.62930926
110,74.9853737,-5.48E+26,-32.64609103,-9.384938883,8.578477832,-113.7100059,-7.80E+47,-11.41183837,16.03931669,40.24966627
111,-116.8993067,-4.93E+24,41.27784567,-74.53504023,154.4816362,-35.45170606,-1.20E+49,-42.13832557,-53.30132595,-96.91931756
